0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.315413,-0.901356,0.296769,-0.271487,-0.505344,-0.105159,-0.856486,-0.301300,0.803207,-0.420118,-0.422327,-0.530424,0.000000,0.000000,0.000000,1.000000
0.017854,-0.998744,0.046806,-0.394943,-0.354837,-0.050096,-0.933585,-0.223824,0.934758,0.000059,-0.355286,-0.586042,0.000000,0.000000,0.000000,1.000000
0.596498,-0.624867,0.503719,-0.122217,-0.541266,-0.776588,-0.322401,-0.456832,0.592640,-0.080334,-0.801452,-0.519253,0.000000,0.000000,0.000000,1.000000
-0.304664,-0.951960,0.030855,-0.559526,-0.259849,0.051908,-0.964253,-0.313685,0.916329,-0.301791,-0.263180,-0.430404,0.000000,0.000000,0.000000,1.000000
0.188637,-0.877537,0.440845,-0.217512,-0.845405,-0.373530,-0.381793,-0.442220,0.499706,-0.300672,-0.812336,-0.484537,0.000000,0.000000,0.000000,1.000000
-0.021777,-0.998427,0.051668,-0.307652,-0.247201,-0.044698,-0.967933,-0.245834,0.968719,-0.033851,-0.245839,-0.671012,0.000000,0.000000,0.000000,1.000000
-0.619198,-0.452046,0.642066,-0.168405,-0.783876,0.307763,-0.539277,-0.308765,0.046174,-0.837220,-0.544914,-0.550899,0.000000,0.000000,0.000000,1.000000
0.484595,-0.830302,0.275256,-0.410037,-0.493914,-0.519433,-0.697308,-0.520860,0.721953,0.201959,-0.661813,-0.357514,0.000000,0.000000,0.000000,1.000000
0.764507,-0.640340,0.074118,-0.492645,-0.209242,-0.355267,-0.911045,-0.544660,0.609710,0.680992,-0.405590,-0.339004,0.000000,0.000000,0.000000,1.000000
-0.425273,-0.902475,0.068426,-0.234353,-0.653669,0.253977,-0.712890,-0.182423,0.625987,-0.347900,-0.697930,-0.606396,0.000000,0.000000,0.000000,1.000000
-0.573679,-0.798044,0.184441,-0.611869,-0.171710,-0.103001,-0.979748,-0.323101,0.800880,-0.593731,-0.077943,-0.199572,0.000000,0.000000,0.000000,1.000000
-0.194312,-0.544431,0.815989,-0.098403,-0.441109,-0.694499,-0.568414,-0.482210,0.876166,-0.470389,-0.105203,-0.517710,0.000000,0.000000,0.000000,1.000000
0.187077,-0.904376,0.383545,-0.537484,-0.008645,-0.391939,-0.919951,-0.523137,0.982307,0.168786,-0.081141,-0.266000,0.000000,0.000000,0.000000,1.000000
-0.443431,-0.555338,0.703540,-0.246034,-0.654876,-0.335187,-0.677338,-0.467454,0.611970,-0.761084,-0.215045,-0.418882,0.000000,0.000000,0.000000,1.000000
0.001128,-0.940984,0.338448,-0.472918,-0.303719,-0.322783,-0.896418,-0.633055,0.952761,-0.101782,-0.286159,-0.132242,0.000000,0.000000,0.000000,1.000000
0.243001,-0.703035,0.668351,-0.163033,-0.523570,-0.675080,-0.519752,-0.416652,0.816593,-0.223628,-0.532133,-0.541284,0.000000,0.000000,0.000000,1.000000
-0.137072,-0.613840,0.777439,-0.150009,-0.337138,-0.709081,-0.619308,-0.482588,0.931423,-0.346994,-0.109754,-0.360204,0.000000,0.000000,0.000000,1.000000
0.074181,-0.940953,0.330311,-0.542704,-0.252585,-0.338152,-0.906562,-0.460723,0.964727,-0.016182,-0.262755,-0.170637,0.000000,0.000000,0.000000,1.000000
-0.242696,-0.716340,0.654184,0.055398,-0.859479,-0.153951,-0.487437,-0.183378,0.449883,-0.680556,-0.578316,-0.640747,0.000000,0.000000,0.000000,1.000000
0.613891,-0.624026,0.483455,-0.092526,-0.316849,-0.755729,-0.573133,-0.384832,0.723010,0.198659,-0.661658,-0.673195,0.000000,0.000000,0.000000,1.000000
-0.496503,-0.867258,-0.036730,-0.418436,-0.655269,0.402220,-0.639407,-0.292100,0.569304,-0.293399,-0.767991,-0.508167,0.000000,0.000000,0.000000,1.000000
0.435670,-0.795613,0.420941,-0.574763,0.167717,-0.387712,-0.906394,-0.493101,0.884343,0.465488,-0.035477,-0.015102,0.000000,0.000000,0.000000,1.000000
-0.522449,-0.491835,0.696524,-0.048803,-0.554058,-0.425096,-0.715760,-0.298080,0.648126,-0.759863,-0.050414,-0.503454,0.000000,0.000000,0.000000,1.000000
-0.975334,-0.054406,0.213924,-0.195124,-0.217426,0.069643,-0.973589,-0.224456,0.038070,-0.996087,-0.079755,-0.581782,0.000000,0.000000,0.000000,1.000000
